name,url,İşlemci_Modeli,price,id,brand,Kullanım_Amacı,Ekran_Boyutu,Çözünürlük,Çözünürlük_Standartı,Panel_Tipi,Ekran_Yenileme_Hızı,Ekran_Kartı_Tipi,Ekran_Kartı,Ekran_Kartı_Hafızası,Maksimum_İşlemci_Hızı,Ram,SSD,İşlemci_Çekirdek_Sayısı,Temel_İşlemci_Hızı,Parmak_İzi_Okuyucu,İşletim_Sistemi
"15-fc0000nt Amd Ryzen 5 7520u 8 512 Ssd Freedos 15.6"" Fhd Taşınabilir Bilgisayar 7P6B0EA",https://www.trendyol.com/hp/15-fc0000nt-amd-ryzen-5-7520u-8--512--ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-7p6b0ea-p-761481836?boutiqueId=61&merchantId=467452,7520U,10999,761481836,HP,Ofis - İş,15.6 inç,1920 x 1080,Full HD (FHD),IPS,60,Dahili,Dahili Ekran Kartı,1.0,4.3,8,512,4,2,,Free Dos (İşletim Sistemi Yok)
"IdeaPad 1 Ryzen 5-5500U 8 512 SSD 15.6"" FHD FreeDOS Dizüstü Bilgisayar 82R400QDTX",https://www.trendyol.com/lenovo/ideapad-1-ryzen-5-5500u-8-512-ssd-15-6-fhd-freedos-dizustu-bilgisayar-82r400qdtx-p-860978209?boutiqueId=681310&merchantId=968,5500U,11849,860978209,LENOVO,Ofis - İş,15.6 inç,1920 x 1080,Full HD (FHD),TN,,Dahili,AMD Radeon Graphics,1.0,4,8,512,6,2.1,Yok,Free Dos (İşletim Sistemi Yok)
"Ideapad Slim3 Intel Celeron-N100 4 RAM 128 SSD Intel UHD Graphics 15.6"" FHD Win11 Gri Laptop",https://www.trendyol.com/lenovo/ideapad-slim3-intel-celeron-n100-4-ram-128-ssd-intel-uhd-graphics-15-6-fhd-win11-gri-laptop-p-880174765?boutiqueId=61&merchantId=1129638,,8039,880174765,LENOVO,Ev - Okul,15.6 inç,1920 x 1080,Full HD (FHD),,,Dahili,Intel UHD Graphics,1.0,,4,128,,3,Yok,
"Aspire Lite AL15-71 Intel Core i7-12650H 16 1 SSD 15.6"" FHD Windows 11 Home Dizüstü Bilgisayar",https://www.trendyol.com/acer/aspire-lite-al15-71-intel-core-i7-12650h-16-1-ssd-15-6-fhd-windows-11-home-dizustu-bilgisayar-p-921524975?boutiqueId=681310&merchantId=968,12650H,27959,921524975,ACER,Ofis - İş,15.6 inç,1920 x 1080,Full HD (FHD),IPS,60,Dahili,Intel HD Graphics,1.0,,16,1,8,,Yok,Windows
"Vivobook 15 Intel® Core™ I5-1335u 16 Ram 512 Ssd W11 Pro 15.6"" Fhd",https://www.trendyol.com/asus/vivobook-15-intel-core-i5-1335u-16-ram-512-ssd-w11-pro-15-6-fhd-p-856346347?boutiqueId=61&merchantId=1069329,1235U,15899,856346347,ASUS,Ev - Okul,15.6 inç,1920 x 1080,Full HD (FHD),TN,60,Dahili,Intel Iris Graphics,1.0,4.4,16,512,10,1.3,Yok,Windows
"IdeaPad Slim3 Intel Core i5-12450H 8 512 SSD 15.6"" FHD FreeDOS Dizüstü Bilgisayar 83ER00FXTR",https://www.trendyol.com/lenovo/ideapad-slim3-intel-core-i5-12450h-8-512-ssd-15-6-fhd-freedos-dizustu-bilgisayar-83er00fxtr-p-860978211?boutiqueId=681310&merchantId=968,12450H,14999,860978211,LENOVO,Ofis - İş,15.6 inç,1920 x 1080,Full HD (FHD),,,Dahili,Dahili Ekran Kartı,1.0,4.4,8,512,8,2,Yok,Free Dos (İşletim Sistemi Yok)
"13"" MacBook Air: Apple M4 chip with 10-core CPU and 8-core GPU. 16. 256 SSD - Gece Yarısı",https://www.trendyol.com/apple/13-macbook-air-apple-m4-chip-with-10-core-cpu-and-8-core-gpu-16-256-ssd-gece-yarisi-p-904728371?boutiqueId=61&merchantId=169540,Apple M4,39599,904728371,Apple,Ofis - İş,13.6 inç,2560 x 1664,Ultra HD 4K (UHD),,60,Dahili,Dahili Ekran Kartı,1.0,,16,256,10,,,Mac Os
"Aspire Lite AL15-32P Intel Celeron-N4500 4 128 SSD 15.6"" FHD Windows 11 Home Dizüstü Bilgisayar",https://www.trendyol.com/acer/aspire-lite-al15-32p-intel-celeron-n4500-4-128-ssd-15-6-fhd-windows-11-home-dizustu-bilgisayar-p-921524970?boutiqueId=681310&merchantId=968,N4000,8299,921524970,ACER,Ofis - İş,15.6 inç,1920 x 1080,Full HD (FHD),IPS,60,Dahili,Intel HD Graphics,1.0,,4,128,8,,,Windows
"Nitro V 15 I9-13900h 32 1 Ssd Rtx 4060-8 15.6"" Fhd Ips 165 Freedos Nh.qqeey.007 321",https://www.trendyol.com/acer/nitro-v-15-i9-13900h-32--1--ssd-rtx-4060-8--15-6-fhd-ips-165--freedos-nh-qqeey-007-321-p-921571348?boutiqueId=61&merchantId=107007,13900H,50800,921571348,ACER,Oyun,15.6 inç,1920 x 1080,Full HD (FHD),IPS,165,Harici,Nvidia GeForce RTX 4060,8.0,4.6,32,1,14,4,,Free Dos (İşletim Sistemi Yok)
"LOQ AMD Ryzen 5-7235HS 24 512 SSD RTX3050 6 DOS 15.6"" FHD 95W 144 Gaming Laptop 83JC00DXTR",https://www.trendyol.com/lenovo/loq-amd-ryzen-5-7235hs-24-512-ssd-rtx3050-6-dos-15-6-fhd-95w-144-gaming-laptop-83jc00dxtr-p-892391467?boutiqueId=61&merchantId=169540,7235HS,26199,892391467,LENOVO,Oyun,15.6 inç,1920 x 1080,Full HD (FHD),IPS,144,Harici,Nvidia GeForce RTX 3050,6.0,4.2,24,512,4,,,Free Dos (İşletim Sistemi Yok)
