name,url,id,İşlemci_Modeli,price,brand,Kullanım_Amacı,Ekran_Boyutu,Çözünürlük,Çözünürlük_Standartı,Panel_Tipi,Ekran_Yenileme_Hızı,Ekran_Kartı_Tipi,Ekran_Kartı,Ekran_Kartı_Hafızası,Maksimum_İşlemci_Hızı,Ram,SSD,İşlemci_Çekirdek_Sayısı,Temel_İşlemci_Hızı,Parmak_İzi_Okuyucu,İşletim_Sistemi
"15-fc0000nt Amd Ryzen 5 7520u 8 512 Ssd Freedos 15.6"" Fhd Taşınabilir Bilgisayar 7P6B0EA",https://www.trendyol.com/hp/15-fc0000nt-amd-ryzen-5-7520u-8--512--ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-7p6b0ea-p-761481836?boutiqueId=61&merchantId=467452,761481836,7520U,10999.0,HP,Ofis - İş,15.6 inç,1920 x 1080,Full HD (FHD),IPS,60.0,Dahili,Dahili Ekran Kartı,1.0,4.3,8.0,512.0,4.0,2.0,Yok,Free Dos (İşletim Sistemi Yok)
"IdeaPad 1 Ryzen 5-5500U 8 512 SSD 15.6"" FHD FreeDOS Dizüstü Bilgisayar 82R400QDTX",https://www.trendyol.com/lenovo/ideapad-1-ryzen-5-5500u-8-512-ssd-15-6-fhd-freedos-dizustu-bilgisayar-82r400qdtx-p-860978209?boutiqueId=681310&merchantId=968,860978209,5500U,11849.0,LENOVO,Ofis - İş,15.6 inç,1920 x 1080,Full HD (FHD),TN,60.0,Dahili,AMD Radeon Graphics,1.0,4.0,8.0,512.0,6.0,2.1,Yok,Free Dos (İşletim Sistemi Yok)
"Ideapad Slim3 Intel Celeron-N100 4 RAM 128 SSD Intel UHD Graphics 15.6"" FHD Win11 Gri Laptop",https://www.trendyol.com/lenovo/ideapad-slim3-intel-celeron-n100-4-ram-128-ssd-intel-uhd-graphics-15-6-fhd-win11-gri-laptop-p-880174765?boutiqueId=61&merchantId=1129638,880174765,1215U,8039.0,LENOVO,Ev - Okul,15.6 inç,1920 x 1080,Full HD (FHD),TN,146.4,Dahili,Intel UHD Graphics,1.0,3.713999999999999,4.0,128.0,5.35,3.0,Yok,Windows
"Aspire Lite AL15-71 Intel Core i7-12650H 16 1 SSD 15.6"" FHD Windows 11 Home Dizüstü Bilgisayar",https://www.trendyol.com/acer/aspire-lite-al15-71-intel-core-i7-12650h-16-1-ssd-15-6-fhd-windows-11-home-dizustu-bilgisayar-p-921524975?boutiqueId=681310&merchantId=968,921524975,12650H,27959.0,ACER,Ofis - İş,15.6 inç,1920 x 1080,Full HD (FHD),IPS,60.0,Dahili,Intel HD Graphics,1.0,4.396000000000006,16.0,1.0,8.0,2.3109999999999995,Yok,Windows
"Vivobook 15 Intel® Core™ I5-1335u 16 Ram 512 Ssd W11 Pro 15.6"" Fhd",https://www.trendyol.com/asus/vivobook-15-intel-core-i5-1335u-16-ram-512-ssd-w11-pro-15-6-fhd-p-856346347?boutiqueId=61&merchantId=1069329,856346347,1235U,15899.0,ASUS,Ev - Okul,15.6 inç,1920 x 1080,Full HD (FHD),TN,60.0,Dahili,Intel Iris Graphics,1.0,4.4,16.0,512.0,10.0,1.3,Yok,Windows
"IdeaPad Slim3 Intel Core i5-12450H 8 512 SSD 15.6"" FHD FreeDOS Dizüstü Bilgisayar 83ER00FXTR",https://www.trendyol.com/lenovo/ideapad-slim3-intel-core-i5-12450h-8-512-ssd-15-6-fhd-freedos-dizustu-bilgisayar-83er00fxtr-p-860978211?boutiqueId=681310&merchantId=968,860978211,12450H,14999.0,LENOVO,Ofis - İş,15.6 inç,1920 x 1080,Full HD (FHD),TN,60.0,Dahili,Dahili Ekran Kartı,1.0,4.4,8.0,512.0,8.0,2.0,Yok,Free Dos (İşletim Sistemi Yok)
"13"" MacBook Air: Apple M4 chip with 10-core CPU and 8-core GPU. 16. 256 SSD - Gece Yarısı",https://www.trendyol.com/apple/13-macbook-air-apple-m4-chip-with-10-core-cpu-and-8-core-gpu-16-256-ssd-gece-yarisi-p-904728371?boutiqueId=61&merchantId=169540,904728371,Apple M4,39599.0,Apple,Ofis - İş,13.6 inç,2560 x 1664,Ultra HD 4K (UHD),IPS,60.0,Dahili,Dahili Ekran Kartı,1.0,4.053999999999999,16.0,256.0,10.0,2.792999999999996,Var,Mac Os
"Aspire Lite AL15-32P Intel Celeron-N4500 4 128 SSD 15.6"" FHD Windows 11 Home Dizüstü Bilgisayar",https://www.trendyol.com/acer/aspire-lite-al15-32p-intel-celeron-n4500-4-128-ssd-15-6-fhd-windows-11-home-dizustu-bilgisayar-p-921524970?boutiqueId=681310&merchantId=968,921524970,N4000,8299.0,ACER,Ofis - İş,15.6 inç,1920 x 1080,Full HD (FHD),IPS,60.0,Dahili,Intel HD Graphics,1.0,3.8739999999999997,4.0,128.0,8.0,2.6039999999999988,Yok,Windows
"Nitro V 15 I9-13900h 32 1 Ssd Rtx 4060-8 15.6"" Fhd Ips 165 Freedos Nh.qqeey.007 321",https://www.trendyol.com/acer/nitro-v-15-i9-13900h-32--1--ssd-rtx-4060-8--15-6-fhd-ips-165--freedos-nh-qqeey-007-321-p-921571348?boutiqueId=61&merchantId=107007,921571348,13900H,50800.0,ACER,Oyun,15.6 inç,1920 x 1080,Full HD (FHD),IPS,165.0,Harici,Nvidia GeForce RTX 4060,8.0,4.6,32.0,1.0,14.0,4.0,Yok,Free Dos (İşletim Sistemi Yok)
"LOQ AMD Ryzen 5-7235HS 24 512 SSD RTX3050 6 DOS 15.6"" FHD 95W 144 Gaming Laptop 83JC00DXTR",https://www.trendyol.com/lenovo/loq-amd-ryzen-5-7235hs-24-512-ssd-rtx3050-6-dos-15-6-fhd-95w-144-gaming-laptop-83jc00dxtr-p-892391467?boutiqueId=61&merchantId=169540,892391467,7235HS,26199.0,LENOVO,Oyun,15.6 inç,1920 x 1080,Full HD (FHD),IPS,144.0,Harici,Nvidia GeForce RTX 3050,6.0,4.2,24.0,512.0,4.0,3.052,Yok,Free Dos (İşletim Sistemi Yok)
